iter	Passed	Remaining
0	4	4065
1	7	3877
2	11	3830
3	20	4985
4	58	11660
5	66	11031
6	100	14257
7	156	19353
8	207	22857
9	250	24815
10	297	26746
11	338	27834
12	358	27193
13	364	25662
14	373	24494
15	379	23347
16	384	22229
17	393	21457
18	399	20621
19	405	19848
20	411	19199
21	420	18682
22	452	19227
23	466	18985
24	503	19621
25	523	19596
26	539	19457
27	548	19042
28	554	18574
29	580	18753
30	584	18271
31	593	17968
32	609	17850
33	612	17416
34	623	17204
35	635	17020
36	643	16737
37	646	16370
38	652	16088
39	661	15874
40	668	15632
41	690	15752
42	699	15565
43	731	15886
44	739	15683
45	742	15392
46	750	15209
47	754	14956
48	772	15001
49	776	14753
50	779	14504
51	782	14265
52	790	14132
53	804	14092
54	808	13884
55	811	13675
56	815	13486
57	817	13281
58	820	13082
59	823	12894
60	832	12816
61	844	12775
62	860	12794
63	869	12716
64	872	12547
65	875	12395
66	878	12236
67	881	12080
68	885	11942
69	888	11808
70	894	11709
71	909	11716
72	921	11702
73	924	11566
74	926	11427
75	929	11303
76	932	11172
77	934	11051
78	937	10928
79	939	10809
80	943	10708
81	946	10595
82	948	10483
83	951	10378
84	954	10274
85	956	10169
86	959	10068
87	962	9970
88	964	9872
89	966	9774
90	969	9684
91	972	9596
92	975	9515
93	978	9427
94	981	9345
95	984	9266
96	986	9187
97	989	9106
98	992	9031
99	995	8960
100	998	8885
101	1001	8817
102	1004	8748
103	1008	8691
104	1012	8627
105	1014	8558
106	1018	8498
107	1022	8442
108	1025	8379
109	1027	8315
110	1030	8255
111	1033	8194
112	1036	8139
113	1040	8084
114	1042	8025
115	1045	7966
116	1048	7915
117	1052	7865
118	1055	7812
119	1058	7760
120	1060	7705
121	1063	7651
122	1066	7603
123	1069	7552
124	1071	7500
125	1073	7449
126	1076	7400
127	1079	7351
128	1082	7305
129	1084	7256
130	1086	7210
131	1089	7165
132	1092	7120
133	1095	7080
134	1098	7037
135	1101	6996
136	1104	6958
137	1107	6915
138	1109	6874
139	1112	6831
140	1116	6799
141	1119	6761
142	1121	6723
143	1124	6686
144	1127	6650
145	1130	6613
146	1133	6579
147	1136	6545
148	1139	6508
149	1142	6472
150	1144	6437
151	1147	6403
152	1150	6369
153	1153	6334
154	1156	6302
155	1158	6268
156	1161	6235
157	1164	6205
158	1167	6173
159	1170	6143
160	1173	6113
161	1175	6083
162	1179	6054
163	1181	6023
164	1184	5993
165	1186	5961
166	1189	5933
167	1193	5908
168	1195	5879
169	1198	5851
170	1201	5822
171	1204	5796
172	1206	5769
173	1209	5741
174	1212	5715
175	1215	5690
176	1218	5663
177	1221	5638
178	1223	5613
179	1226	5588
180	1229	5562
181	1234	5550
182	1238	5527
183	1241	5503
184	1243	5479
185	1246	5453
186	1248	5429
187	1253	5413
188	1256	5390
189	1258	5365
190	1261	5344
191	1264	5322
192	1267	5300
193	1271	5282
194	1275	5264
195	1278	5245
196	1281	5223
197	1284	5201
198	1287	5180
199	1290	5162
200	1293	5142
201	1296	5122
202	1299	5100
203	1301	5079
204	1304	5059
205	1307	5037
206	1310	5019
207	1313	4999
208	1315	4979
209	1318	4959
210	1321	4940
211	1323	4920
212	1327	4903
213	1330	4887
214	1333	4870
215	1336	4851
216	1339	4834
217	1343	4817
218	1345	4799
219	1348	4782
220	1352	4767
221	1355	4751
222	1358	4734
223	1361	4717
224	1364	4699
225	1367	4682
226	1369	4664
227	1372	4648
228	1375	4630
229	1378	4613
230	1381	4597
231	1384	4582
232	1388	4572
233	1392	4557
234	1395	4541
235	1397	4524
236	1400	4508
237	1403	4493
238	1406	4477
239	1408	4460
240	1411	4445
241	1414	4429
242	1416	4413
243	1419	4398
244	1422	4382
245	1426	4371
246	1429	4356
247	1431	4341
248	1434	4326
249	1437	4311
250	1439	4297
251	1442	4282
252	1445	4269
253	1448	4253
254	1451	4240
255	1453	4225
256	1456	4211
257	1459	4197
258	1462	4183
259	1464	4169
260	1467	4155
261	1471	4145
262	1474	4131
263	1476	4116
264	1479	4104
265	1483	4092
266	1486	4080
267	1489	4069
268	1493	4057
269	1495	4044
270	1498	4031
271	1502	4020
272	1504	4007
