Recommended_Calories,Recommended_Protein,Recommended_Carbs,Recommended_Fats
1887,107,186,102
2802,63,310,110
2335,156,313,75
1058,105,294,43
1018,45,340,32
1642,180,196,46
2667,167,287,67
2997,210,291,87
1771,110,201,78
1659,60,224,137
1236,119,157,78
1022,78,383,139
2920,108,269,109
2850,56,172,106
809,120,197,37
2292,145,305,127
1905,191,152,50
2895,197,203,58
1363,142,117,69
2211,167,201,121
2324,68,304,54
1115,117,118,29
2408,147,196,43
2502,102,166,102
962,174,264,31
2775,176,121,72
1960,90,104,87
3222,100,334,74
1038,149,92,112
1404,51,371,52
931,79,195,154
3261,116,253,75
1574,107,228,54
2953,181,341,126
2129,183,362,71
1544,195,156,41
1437,86,319,55
2276,89,403,40
799,127,240,95
1527,188,196,86
1282,175,213,115
2792,176,217,33
3021,154,293,127
847,154,327,20
1106,107,165,67
3083,191,261,48
1553,115,329,117
2898,165,138,28
1860,179,228,25
876,159,180,105
3010,94,384,130
2495,92,387,40
2508,77,405,63
2464,58,234,133
2078,202,321,76
1484,190,330,72
2008,188,214,118
1455,92,319,113
2357,206,393,75
2546,126,271,91
2634,153,263,35
2272,148,112,84
2746,151,167,30
2153,127,350,102
1677,139,126,98
2500,127,243,71
3122,61,375,81
2094,56,335,105
3120,108,235,50
1887,142,295,34
2062,157,193,53
1688,134,251,30
1969,176,369,89
798,99,198,123
2492,150,176,74
1680,168,361,59
1703,158,226,119
2682,163,135,79
1565,87,358,43
2267,100,211,41
1672,94,289,42
2488,149,80,96
824,83,294,105
2088,122,327,128
2066,174,331,158
1348,78,152,132
1670,155,242,140
1694,165,123,141
2811,134,267,30
1832,98,262,23
1658,84,92,74
2828,189,325,104
1657,175,206,34
2648,100,233,110
1142,151,201,103
1843,153,356,137
1358,108,97,66
1361,191,211,135
2450,147,156,95
2864,86,321,78
1983,107,128,76
923,76,229,129
2115,82,273,131
2345,79,235,51
2103,151,398,12
3334,149,298,85
1612,106,319,116
2353,91,219,135
