mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__n_estimators,param_estimator__min_samples_split,param_estimator__min_samples_leaf,param_estimator__max_features,param_estimator__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
7.12348051071167,1.0100547847354489,0.23569765090942382,0.028254990997600458,200,2,1,log2,30,"{'estimator__n_estimators': 200, 'estimator__min_samples_split': 2, 'estimator__min_samples_leaf': 1, 'estimator__max_features': 'log2', 'estimator__max_depth': 30}",-1164.9737883556343,-1229.2232952761203,-1176.399201559546,-1266.1478740640634,-1110.3504966269431,-1189.4189311764615,53.83421548971766,13,-165.61217791639646,-163.4396753465231,-165.18871777859056,-161.89584135089555,-168.77603596674882,-164.9824896718309,2.3124750683436646
9.416182041168213,0.4788121932378979,0.23291988372802735,0.006952599977200714,400,5,4,log2,30,"{'estimator__n_estimators': 400, 'estimator__min_samples_split': 5, 'estimator__min_samples_leaf': 4, 'estimator__max_features': 'log2', 'estimator__max_depth': 30}",-1140.4832846219904,-1195.1100182508671,-1152.8823356592782,-1245.895281529121,-1105.8809020555066,-1168.0503644233527,48.264088142092454,3,-608.6847034195467,-599.8041993829654,-607.6144814531496,-594.960573087951,-616.8318375261205,-605.5791589739467,7.569864503308233
3.0304471492767333,0.5759164815456419,0.10452766418457031,0.015739425010916963,200,10,2,sqrt,5,"{'estimator__n_estimators': 200, 'estimator__min_samples_split': 10, 'estimator__min_samples_leaf': 2, 'estimator__max_features': 'sqrt', 'estimator__max_depth': 5}",-1224.5035481922764,-1292.7671152293349,-1238.2636082192862,-1335.755932448943,-1206.4944106333176,-1259.5569229446317,47.763962288183585,18,-1182.012864486998,-1170.353486581068,-1175.555400764444,-1154.233264653795,-1183.0113181618576,-1173.0332669296326,10.461139001599234
1.5545255184173583,0.3759711061075222,0.057214212417602536,0.011163074469160712,50,2,4,sqrt,,"{'estimator__n_estimators': 50, 'estimator__min_samples_split': 2, 'estimator__min_samples_leaf': 4, 'estimator__max_features': 'sqrt', 'estimator__max_depth': None}",-1146.1949488528187,-1214.7376598984147,-1177.5066316581226,-1253.9906886230694,-1110.261639340104,-1180.5383136745058,50.383162716039756,8,-618.9509271922548,-611.0528171825762,-615.127101582326,-600.5852850741579,-625.891259337458,-614.3214780737546,8.429802002561804
1.5537926197052,0.2828148689577497,0.055072784423828125,0.017984897510615012,50,10,1,log2,30,"{'estimator__n_estimators': 50, 'estimator__min_samples_split': 10, 'estimator__min_samples_leaf': 1, 'estimator__max_features': 'log2', 'estimator__max_depth': 30}",-1158.6098307250315,-1224.4805257486862,-1178.1374951645314,-1259.2805538681216,-1121.1980139642383,-1188.3412838941217,48.65124897703625,12,-513.5828387743251,-506.25177846140247,-510.14891640325715,-500.7130528474457,-520.4831315809041,-510.2359436134669,6.674925657916791
2.709565782546997,0.19896083686839608,0.0817941665649414,0.007929733971403678,200,5,2,log2,5,"{'estimator__n_estimators': 200, 'estimator__min_samples_split': 5, 'estimator__min_samples_leaf': 2, 'estimator__max_features': 'log2', 'estimator__max_depth': 5}",-1224.9464436962908,-1290.789849331051,-1237.086232144184,-1335.5622022882483,-1212.5231533038564,-1260.1815761527262,46.185148968211536,19,-1179.8820032268516,-1167.2199141330161,-1174.4766561561487,-1153.841501000062,-1186.3299017872553,-1172.3499952606667,11.185470121817087
1.419612503051758,0.16780763864696363,0.04783077239990234,0.011390188114298299,50,10,1,log2,20,"{'estimator__n_estimators': 50, 'estimator__min_samples_split': 10, 'estimator__min_samples_leaf': 1, 'estimator__max_features': 'log2', 'estimator__max_depth': 20}",-1162.4613443282021,-1228.6271946400147,-1181.833982560525,-1256.8513105651864,-1120.6868114794752,-1190.0921287146807,48.14664048810407,14,-517.6074095124275,-511.657393166325,-516.322912503286,-507.1678061000228,-526.8158289896512,-515.9142700543425,6.580263363111896
4.499925422668457,0.4594708769746051,0.12185564041137695,0.009656636686689413,200,10,4,log2,30,"{'estimator__n_estimators': 200, 'estimator__min_samples_split': 10, 'estimator__min_samples_leaf': 4, 'estimator__max_features': 'log2', 'estimator__max_depth': 30}",-1137.9408229949088,-1192.026502607843,-1156.6474322420493,-1244.8695464656364,-1110.7805612393838,-1168.4529731099642,46.45788020822246,5,-640.0367096118136,-632.9369189133334,-639.5893098090895,-626.936029957842,-648.1361609086542,-637.5270258401466,7.160217176632796
5.990879154205322,0.812706220648709,0.15282621383666992,0.006144439036749107,300,10,4,log2,10,"{'estimator__n_estimators': 300, 'estimator__min_samples_split': 10, 'estimator__min_samples_leaf': 4, 'estimator__max_features': 'log2', 'estimator__max_depth': 10}",-1135.4919506565775,-1185.2156648912396,-1149.6838419978474,-1245.551585371342,-1111.1912548008304,-1165.4268595435674,46.68406730222154,1,-831.9808078813634,-823.2875405225474,-828.7848183932209,-809.6678267347289,-840.6117781608338,-826.8665543385389,10.27007376111655
4.662130498886109,0.22360069206234404,0.12201366424560547,0.00583215856216981,200,10,2,sqrt,20,"{'estimator__n_estimators': 200, 'estimator__min_samples_split': 10, 'estimator__min_samples_leaf': 2, 'estimator__max_features': 'sqrt', 'estimator__max_depth': 20}",-1144.0860361931957,-1199.6760624235153,-1148.4912159019416,-1252.2572076876738,-1114.3885384448663,-1171.7798121302385,48.69881766798478,6,-552.0376967664895,-546.6978926259837,-553.0591695324098,-541.8718953653146,-561.8972487459358,-551.1127806072267,6.7206227200414395
1.6718790054321289,0.18328249792625034,0.06268081665039063,0.02131161133940585,100,10,4,sqrt,5,"{'estimator__n_estimators': 100, 'estimator__min_samples_split': 10, 'estimator__min_samples_leaf': 4, 'estimator__max_features': 'sqrt', 'estimator__max_depth': 5}",-1224.390958750426,-1290.3417366964384,-1231.71504123532,-1331.336030962173,-1207.397966275405,-1257.0363467839525,46.476985186787,16,-1182.818617069149,-1169.3143831556256,-1172.0255828454672,-1151.3394099611394,-1184.2133835778197,-1171.94227532184,11.834405148431689
1.159287118911743,0.07603262297026768,0.036691474914550784,0.001996021915410863,50,10,2,log2,30,"{'estimator__n_estimators': 50, 'estimator__min_samples_split': 10, 'estimator__min_samples_leaf': 2, 'estimator__max_features': 'log2', 'estimator__max_depth': 30}",-1152.0316210926937,-1227.7696762450605,-1159.7397387399799,-1248.8038373957604,-1126.7702662841994,-1183.0230279515388,46.89633136065802,9,-557.2625098114627,-549.4874725114363,-559.2615437493172,-545.3662421553738,-564.200499612369,-555.1156535679918,6.797930121347696
