iter	RMSE
0	36.92390258
1	35.68869257
2	34.50511849
3	33.35329924
4	32.27644651
5	31.28779724
6	30.33931744
7	29.46255279
8	28.66204758
9	27.90265339
10	27.20217663
11	26.53201478
12	25.91013189
13	25.31052947
14	24.75666462
15	24.24415406
16	23.76828847
17	23.33038604
18	22.93560729
19	22.55234141
20	22.21913889
21	21.87343014
22	21.56175976
23	21.27497967
24	21.02152876
25	20.79883358
26	20.58567907
27	20.36564789
28	20.17263186
29	20.00782314
30	19.83096677
31	19.66154735
32	19.52817906
33	19.38854871
34	19.26308292
35	19.15963043
36	19.05490739
37	18.95956481
38	18.86652167
39	18.78221575
40	18.7110431
41	18.64086873
42	18.57563121
43	18.513497
44	18.4577067
45	18.40540521
46	18.35690998
47	18.31562075
48	18.27154913
49	18.22736552
50	18.18906909
51	18.15654377
52	18.12496782
53	18.09441207
54	18.06919522
55	18.04170093
56	18.01302556
57	17.98761778
58	17.96261327
59	17.94013133
60	17.922294
61	17.90521724
62	17.89108574
63	17.8719005
64	17.85838193
65	17.84353453
66	17.83219919
67	17.81734157
68	17.80494241
69	17.78891179
70	17.77504766
71	17.76200419
72	17.75104673
73	17.74050331
74	17.73077866
75	17.72196831
76	17.70718168
77	17.70099421
78	17.6927629
79	17.68444905
80	17.66885514
81	17.66273628
82	17.65226414
83	17.64194967
84	17.62986318
85	17.62199612
86	17.61146961
87	17.60534839
88	17.59758062
89	17.58830305
90	17.57768797
91	17.57212324
92	17.56217028
93	17.55337481
94	17.54684398
95	17.53926519
96	17.530771
97	17.52400927
98	17.51517635
99	17.50925802
100	17.49762766
101	17.48589473
102	17.48009095
103	17.47155784
104	17.45881615
105	17.4507402
106	17.44265524
107	17.43680833
108	17.42560973
109	17.41889826
110	17.41409224
111	17.4095058
112	17.40436942
113	17.40028336
114	17.39478192
115	17.38920775
116	17.3822873
117	17.37723516
118	17.37378589
119	17.36881888
120	17.36054872
121	17.35567931
122	17.34935041
123	17.34443996
124	17.34022055
125	17.33287567
126	17.3295625
127	17.31858192
128	17.30868678
129	17.30124554
130	17.29932824
131	17.29268453
132	17.28858766
133	17.28310787
134	17.27297972
135	17.26301639
136	17.25927249
137	17.24799353
138	17.2408882
139	17.23146024
140	17.22631302
141	17.21804961
142	17.2101738
143	17.20191143
144	17.19273614
145	17.18644518
146	17.1768373
147	17.16801636
148	17.16286573
149	17.15931693
150	17.15227089
