iter	Passed	Remaining
0	2	2215
1	3	1965
2	5	1867
3	8	2014
4	10	2004
5	11	1965
6	13	1938
7	15	1916
8	17	1887
9	18	1863
10	20	1852
11	22	1853
12	24	1843
13	26	1832
14	27	1836
15	29	1831
16	31	1821
17	33	1818
18	35	1815
19	36	1809
20	38	1803
21	40	1814
22	42	1807
23	44	1802
24	46	1796
25	48	1804
26	49	1798
27	51	1789
28	53	1787
29	55	1785
30	56	1778
31	58	1770
32	60	1779
33	62	1775
34	64	1770
35	65	1765
36	67	1767
37	69	1763
38	71	1756
39	72	1751
40	74	1753
41	76	1748
42	78	1745
43	81	1761
44	82	1758
45	84	1755
46	86	1762
47	88	1763
48	90	1760
49	92	1759
50	94	1758
51	96	1755
52	98	1751
53	99	1749
54	101	1747
55	103	1743
56	105	1739
57	107	1739
58	108	1735
59	110	1731
60	112	1728
61	114	1726
62	115	1724
63	118	1725
64	119	1724
65	122	1728
66	124	1739
67	128	1756
68	130	1754
69	132	1760
70	134	1757
71	136	1761
72	138	1764
73	141	1766
74	143	1767
75	146	1784
76	149	1787
77	151	1786
78	153	1789
79	155	1791
80	157	1790
81	160	1794
82	162	1795
83	164	1798
84	166	1795
85	169	1797
86	171	1803
87	173	1800
88	175	1796
89	177	1797
90	180	1798
91	182	1797
92	184	1796
93	186	1794
94	187	1790
95	189	1786
96	191	1783
97	193	1779
98	195	1776
99	197	1773
100	198	1769
101	200	1765
102	202	1760
103	204	1758
104	205	1753
105	207	1749
106	209	1746
107	211	1744
108	213	1741
109	214	1737
110	216	1733
111	218	1729
112	219	1725
113	221	1721
114	223	1718
115	225	1715
116	226	1711
117	228	1707
118	230	1706
119	232	1702
120	233	1699
121	235	1695
122	237	1692
123	239	1688
124	240	1685
125	242	1681
126	244	1678
127	245	1674
128	247	1670
129	249	1667
130	250	1664
131	252	1660
132	254	1658
133	256	1655
134	258	1654
135	259	1651
136	261	1648
137	263	1646
138	265	1643
139	267	1640
140	268	1638
141	271	1638
142	273	1636
143	274	1633
144	276	1631
145	278	1628
146	280	1625
147	281	1621
148	283	1620
149	285	1617
150	287	1615
151	289	1614
152	291	1612
153	293	1609
154	294	1606
155	296	1605
156	298	1603
157	300	1600
158	302	1597
159	303	1594
160	305	1591
161	307	1588
162	308	1585
163	310	1582
164	312	1579
165	313	1577
166	315	1575
167	317	1573
168	319	1569
169	320	1566
170	322	1564
171	324	1561
172	326	1558
173	327	1556
174	329	1554
175	331	1551
176	333	1548
177	334	1546
178	336	1544
179	338	1541
180	339	1538
181	341	1535
182	343	1533
183	345	1531
184	347	1528
